CID,Annotator,Sentence,Sno.,Preprocessed,TripletOutput
4245,Magda,"A: I taught, okay. I taught",16,"I taught, okay. I taught","[('AUTHOR', 'taught', 'true')]"
4245,Magda,A: I taught business English.,17,I taught business English.,"[('AUTHOR', 'taught', 'true')]"
4245,Magda,B: uh-huh.,18,uh-huh.,"[('AUTHOR', 'uh-huh', 'true')]"
4245,Magda,A: I taught listening. I taught integrated skills and g- beginning grammar.,19,I taught listening. I taught integrated skills and beginning grammar.,"[('AUTHOR', 'taught', 'true'), ('AUTHOR', 'listening', 'true'), ('AUTHOR', 'taught', 'true')]"
4245,Magda,B: okay.,20,okay.,"[('AUTHOR', 'ok', 'ok')]"
4245,Magda,B: mhm. I’m just writing this down so I,21,mhm. I’m just writing this down so I,"[('AUTHOR', 'writing', 'true')]"
4245,Magda,A: Cool.,22,Cool.,"[('AUTHOR', 'cool', 'cool')]"
4245,Magda,A: You don’t have to tell them about (( )) or anything. {breath} oh weird.,23,You don’t have to tell them about or anything. oh weird.,"[('AUTHOR', 'tell', 'unknown')]"
4245,Magda,B: {laugh},24,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,A: You know what?,25,You know what?,"[('AUTHOR', 'you', 'true')]"
4245,Magda,B: What?,26,What?,[]
4245,Magda,"A: I had a dream this morning about,",27,"I had a dream this morning about,","[('AUTHOR', 'dream', 'true')]"
4245,Magda,A: it’s weird. I don’t know if you were in it. I think you were.,28,it’s weird. I don’t know if you were in it. I think you were.,"[('AUTHOR', 'think', 'true'), ('AUTHOR', 'were', 'unknown'), ('AUTHOR_I', 'were', 'ptrue')]"
4245,Magda,B: %huh.,29,huh.,"[('AUTHOR', 'huh', 'true')]"
4245,Magda,A: But &Barry was definitely in it.,30,But Barry was definitely in it.,"[('AUTHOR', 'in', 'true')]"
4245,Magda,B: yeah.,31,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4245,Magda,A: And &Barry and I,32,And Barry and I,"[('AUTHOR', 'Berry', 'Berry')]"
4245,Magda,A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh},33,I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning.,"[('AUTHOR', 'trying', 'true'), ('AUTHOR', 'get', 'unknown'), ('AUTHOR', 'jump', 'unknown'), ('AUTHOR', 'let', 'unknown'), ('AUTHOR', 'got', 'true'), ('AUTHOR', 'woke', 'true'), ('AUTHOR', 'start', 'true'), ('AUTHOR', 'drowning', 'true')]"
4245,Magda,B: {laugh},34,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,A: {breath} I don’t know what that means. I got a postcard from her too the other day,35,I don’t know what that means. I got a postcard from her too the other day,"[('AUTHOR', 'know', 'false'), ('AUTHOR', 'get', 'true'), ('AUTHOR', 'means', 'unknown')]"
4245,Magda,B: ((That’s a)) [distorted],36,That’s a,"[('AUTHOR', 'That', 'true')]"
4245,Magda,B: yeah. That’s a scary dream.,37,yeah. That’s a scary dream.,"[('AUTHOR', 'dream', 'true')]"
4245,Magda,A: It was pretty scary.,38,It was pretty scary.,"[('AUTHOR', 'scary', 'true')]"
4245,Magda,B: yeah.,39,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4245,Magda,A: [channel noise] I don’t know it was kind of one of those frustrating type dreams.,40,I don’t know it was kind of one of those frustrating type dreams.,"[('AUTHOR', 'know', 'false'), ('AUTHOR', 'dreams', 'unknown'), ('AUTHOR_I', 'dreams', 'true')]"
4245,Magda,"B: %eh w- listen. Was it difficult coming back, going back to the &U &S?",41,"listen. Was it difficult coming back, going back to the U S?","[('AUTHOR', 'coming', 'true'), ('AUTHOR', 'going', 'true')]"
4245,Magda,A: yeah.,42,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4245,Magda,B: yeah.,43,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4245,Magda,A: It was harder than I thought it would be actually.,44,It was harder than I thought it would be actually.,"[('AUTHOR', 'thought', 'true'), ('AUTHOR', 'be', 'unknown'), ('AUTHOR_I', 'be', 'true')]"
4245,Magda,B: yeah.,45,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4245,Magda,A: %um harder in the sense that %uh,46,harder in the sense that,"[('AUTHOR', 'harder', 'true')]"
4245,Magda,A: {lipsmack} {breath},47,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,A: I wasn’t used to the pace,48,I wasn’t used to the pace,"[('AUTHOR', 'used', 'false')]"
4245,Magda,A: it’s,49,it’s,"[('AUTHOR', 'it', 'true')]"
4245,Magda,B: mhm.,50,mhm.,"[('AUTHOR', 'mhm', 'true')]"
4245,Magda,A: you know the pace is totally different.,51,you know the pace is totally different.,"[('AUTHOR', 'know', 'true'), ('AUTHOR', 'pace', 'true')]"
4245,Magda,B: mhm.,52,mhm.,"[('AUTHOR', 'mhm', 'true')]"
4245,Magda,A: %um,53,um,"[('AUTHOR', 'said', 'true')]"
4245,Magda,A: And,54,And,"[('AUTHOR', 'said', 'true')]"
4245,Magda,A: I didn’t really want to see anybody for a while.,55,I didn’t really want to see anybody for a while.,"[('AUTHOR', 'want', 'false'), ('AUTHOR', 'see', 'unknown')]"
4245,Magda,"A: And I d-, and I didn’t, which was fine.",56,"And I and I didn’t, which was fine.","[('AUTHOR', 'fine', 'true')]"
4245,Magda,A: And I really missed people,57,And I really missed people,"[('AUTHOR', 'missed', 'people')]"
4245,Magda,A: %um from &Poland because it was all my support system. Coming here w- the only person that really knew and understood my circumstances was &Tom.,58,from Poland because it was all my support system. Coming here the only person that really knew and understood my circumstances was Tom.,"[('AUTHOR', 'support', 'true'), ('AUTHOR', 'coming', 'true'), ('AUTHOR', 'knowed', 'true'), ('AUTHOR', 'understood', 'true')]"
4245,Magda,B: mhm.,59,mhm.,"[('AUTHOR', 'mhm', 'true')]"
4245,Magda,A: And so that was really tough because that was a lot of pressure on both of us ((coming coming)) with him again and all of that.,60,And so that was really tough because that was a lot of pressure on both of us coming coming with him again and all of that.,"[('AUTHOR', 'tough', 'true'), ('AUTHOR', 'pressure', 'true'), ('AUTHOR', 'coming', 'true'), ('AUTHOR', 'coming', 'true')]"
4245,Magda,B: mhm.,61,mhm.,"[('AUTHOR', 'mhm', 'true')]"
4245,Magda,A: %um readjusting as far as Americanisms,62,readjusting as far as Americanisms,"[('AUTHOR', 'readjusting', 'true')]"
4245,Magda,B: mhm.,63,mhm.,"[('AUTHOR', 'mhm', 'true')]"
4245,Magda,A: %uh &Blimpie’s scared me.,64,Blimpie’s scared me.,"[('AUTHOR', 'scared', 'true')]"
4245,Magda,A: &Blimpie’s is the sandwich place (( )) {laugh},65,Blimpie’s is the sandwich place,"[('AUTHOR', 'is', 'true')]"
4245,Magda,B: {laugh} I know. I know. {laugh} {breath} oh that’s pretty funny.,66,I know. I know. oh that’s pretty funny.,"[('AUTHOR', 'know', 'true'), ('AUTHOR_I', 'know', 'true')]"
4245,Magda,A: We went in there and it was so yellow.,67,We went in there and it was so yellow.,"[('AUTHOR', 'went', 'true')]"
4245,Magda,A: It was just so yellow and they wanted to help so bad.,68,It was just so yellow and they wanted to help so bad.,"[('AUTHOR', 'wanted', 'true'), ('AUTHOR', 'help', 'unknown')]"
4245,Magda,B: %ah. [[groaning and drawn out]],69,.,"[('AUTHOR', 'requires', 'true')]"
4245,Magda,A: And it was,70,And it was,"[('AUTHOR', 'was', 'true')]"
4245,Magda,B: %ah,71,ah,"[('AUTHOR', 'ah', 'true')]"
4245,Magda,A: {laugh},72,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,B: {laugh},73,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,B: I just went back and I decided people are a bit too cheery in the &U &S.,74,I just went back and I decided people are a bit too cheery in the U S.,"[('AUTHOR', 'went', 'true'), ('AUTHOR', 'decided', 'true'), ('AUTHOR', 'cheery', 'unknown')]"
4245,Magda,A: oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,75,oh yeah. oh yeah. And see that wanting to help you so bad just freaked me out.,"[('AUTHOR', 'see', 'true'), ('AUTHOR', 'wanting', 'true'), ('AUTHOR', 'help', 'unknown'), ('AUTHOR', 'frightened', 'true')]"
4245,Magda,B: (( )) [distorted],76,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,B: oh my God.,77,oh my God.,"[('AUTHOR', 'oh', 'true')]"
4245,Magda,"B: like, I, I just like ran into stores and ran out because",78,"like, I, I just like ran into stores and ran out because","[('AUTHOR', 'ran', 'true')]"
4245,Magda,A: uh-huh.,79,uh-huh.,"[('AUTHOR', 'uh-huh', 'true')]"
4245,Magda,B: I’d go on the weekdays when nobody you know because I’m,80,I’d go on the weekdays when nobody you know because I’m,"[('AUTHOR', 'go', 'unknown'), ('AUTHOR', 'know', 'unknown')]"
4245,Magda,A: Right.,81,Right.,"[('AUTHOR', 'right', 'right')]"
4245,Magda,B: you know I had time off and %um,82,you know I had time off and,"[('AUTHOR', 'you', 'true')]"
4245,Magda,A: uh-huh.,83,uh-huh.,"[('AUTHOR', 'uh-huh', 'true')]"
4245,Magda,B: I’d walk in there and like five people would say hello to me. I’d be just like leave me alone [[whispered]] {laugh}.,84,I’d walk in there and like five people would say hello to me. I’d be just like leave me alone,"[('AUTHOR', 'walk', 'unknown'), ('AUTHOR', 'say', 'unknown'), ('AUTHOR', 'leave', 'unknown')]"
4245,Magda,"A: i-, it’s just",85,", it’s just","[('AUTHOR', 'it', 'true')]"
4245,Magda,A: oh my God.,86,oh my God.,"[('AUTHOR', 'oh', 'true')]"
4245,Magda,B: It’s just very hard. I talked to &Kristen though when I was home.,87,It’s just very hard. I talked to Kristen though when I was home.,"[('AUTHOR', 'talked', 'true')]"
4245,Magda,A: yeah?,88,yeah?,"[('AUTHOR', 'yeah', 'yeah')]"
4245,Magda,B: yeah. She seems to be doing well. She’s working,89,yeah. She seems to be doing well. She’s working,"[('AUTHOR', 'seems', 'true'), ('AUTHOR', 'doing', 'true'), ('AUTHOR', 'working', 'true')]"
4245,Magda,B: [channel noise] which is good and she’s got her %um she’s healthy again.,90,which is good and she’s got her she’s healthy again.,"[('AUTHOR', 'good', 'true'), ('AUTHOR', 'got', 'true'), ('AUTHOR', 'healthy', 'true')]"
4245,Magda,A: That’s good.,91,That’s good.,"[('AUTHOR', 'good', 'true')]"
4245,Magda,B: %hm yeah.,92,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4245,Magda,A: I’d like to be healthy again.,93,I’d like to be healthy again.,"[('AUTHOR', 'like', 'true')]"
4245,Magda,B: yeah. I hope,94,yeah. I hope,"[('AUTHOR', 'hope', 'true')]"
4245,Magda,A: hey.,95,hey.,"[('AUTHOR', 'hey', 'true')]"
4245,Magda,A: you know I was going to tell you this thing that I got. &Tom found this for me about this freebie experiment thing where you can do this and you can talk.,96,you know I was going to tell you this thing that I got. Tom found this for me about this freebie experiment thing where you can do this and you can talk.,"[('AUTHOR', 'know', 'true'), ('AUTHOR', 'tell', 'unknown'), ('AUTHOR', 'got', 'true'), ('AUTHOR', 'found', 'true'), ('AUTHOR', 'do', 'unknown'), ('AUTHOR', 'talk', 'unknown')]"
4245,Magda,B: (( )) [distorted],97,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,B: uh-huh.,98,uh-huh.,"[('AUTHOR', 'uh-huh', 'true')]"
4245,Magda,B: yeah.,99,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4245,Magda,"A: And it was funny because he handed it to me and I was really confused and I said well,",100,"And it was funny because he handed it to me and I was really confused and I said well,","[('AUTHOR', 'handed', 'true'), ('AUTHOR', 'confused', 'true'), ('AUTHOR', 'said', 'true')]"
4245,Magda,"A: well is this somebody that contacted you on your email or what? He goes no I told you about this last week blah, blah, blah.",101,"well is this somebody that contacted you on your email or what? He goes no I told you about this last week blah, blah, blah.","[('AUTHOR', 'contacted', 'unknown'), ('AUTHOR', 'told', 'true')]"
4245,Magda,A: {breath} I’m looking at it {breath} because it had this guy and it,102,I’m looking at it because it had this guy and it,"[('AUTHOR', 'had', 'true'), ('AUTHOR', 'looking', 'true')]"
4245,Magda,"A: and his name wa-, his name is &Mark &Zalin-, Ya-, no, &Yalinsky. {breath} And it said, and it was",103,"and his name his name is Mark no, Yalinsky. And it said, and it was","[('AUTHOR', 'said', 'true'), ('AUTHOR', 'was', 'true')]"
4245,Magda,A: and it was his email thing and it said U N I <Polish Lodz> &Poland.,104,and it was his email thing and it said U N IPolish Lodz> Poland.,"[('AUTHOR', 'said', 'true')]"
4245,Magda,B: ((You told me)).,105,You told me.,"[('AUTHOR', 'told', 'true')]"
4245,Magda,A: And I’m like,106,And I’m like,"[('AUTHOR', 'like', 'true')]"
4245,Magda,A: And it was a &Playboy joke on this thing. It was done as an example of what we do. [[last four words spoken with a laugh]],107,And it was a Playboy joke on this thing. It was done as an example of what we do.,"[('AUTHOR', 'was', 'true'), ('AUTHOR', 'done', 'true')]"
4245,Magda,B: {laugh},108,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,A: {breath} And it was from <Polish Lodz>. And I’m like did somebody try to get a hold of you and he goes no.,109,And it was fromPolish Lodz>. And I’m like did somebody try to get a hold of you and he goes no.,"[('AUTHOR', 'try', 'unknown'), ('AUTHOR', 'get', 'unknown'), ('AUTHOR', 'goes', 'unknown')]"
4245,Magda,"A: I go well there’s this thing. I said look at this and it sa-, and it you know is all in code.",110,I go well there’s this thing. I said look at this and it and it you know is all in code.,"[('AUTHOR', 'go', 'true'), ('AUTHOR', 'said', 'true'), ('AUTHOR', 'look', 'unknown'), ('AUTHOR', 'know', 'true'), ('AUTHOR_I', 'look', 'true')]"
4245,Magda,B: uh-huh.,111,uh-huh.,"[('AUTHOR', 'uh-huh', 'true')]"
4245,Magda,A: And he goes ooh weird. He goes I didn’t do that. {laugh},112,And he goes ooh weird. He goes I didn’t do that.,"[('AUTHOR', 'goes', 'true'), ('AUTHOR', 'goes', 'true'), ('AUTHOR', 'did', 'unknown')]"
4245,Magda,B: {laugh} That’s really funny.,113,That’s really funny.,"[('AUTHOR', 'funny', 'true')]"
4245,Magda,A: yeah.,114,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4245,Magda,B: Small world %huh?,115,Small world,"[('AUTHOR', 'world', 'true')]"
4245,Magda,A: You’re,116,You’re,"[('AUTHOR', 're', 're')]"
4245,Magda,A: yeah. And now are you not smoking?,117,yeah. And now are you not smoking?,"[('AUTHOR', 'smoking', 'false')]"
4245,Magda,B: No. I am smoking.,118,No. I am smoking.,"[('AUTHOR', 'smoking', 'false')]"
4245,Magda,A: yeah. Well I did a few when I’ve been back too.,119,yeah. Well I did a few when I’ve been back too.,"[('AUTHOR', 'did', 'true'), ('AUTHOR', 'been', 'true')]"
4245,Magda,B: yeah. I’ve been smoking big time. It’s been a rough couple months.,120,yeah. I’ve been smoking big time. It’s been a rough couple months.,"[('AUTHOR', 'smoking', 'true'), ('AUTHOR', 'been', 'true')]"
4245,Magda,A: yeah?,121,yeah?,"[('AUTHOR', 'yeah', 'yeah')]"
4245,Magda,B: Well yeah it’s been [distortion] really [/distortion] busy.,122,Well yeah it’s been really busy.,"[('AUTHOR', 'busy', 'true')]"
4245,Magda,A: The kid sister thing?,123,The kid sister thing?,"[('AUTHOR', 'thing', 'true')]"
4245,Magda,B: %huh?,124,huh?,"[('AUTHOR', 'huh', 'true')]"
4245,Magda,A: The kid sister thing?,125,The kid sister thing?,"[('AUTHOR', 'thing', 'true')]"
4245,Magda,B: Well no. Not really that but it’s been really busy as far as work is concerned.,126,Well no. Not really that but it’s been really busy as far as work is concerned.,"[('AUTHOR', 'busy', 'true')]"
4245,Magda,A: Sure. yeah.,127,Sure. yeah.,"[('AUTHOR', 'sure', 'true')]"
4245,Magda,B: You know? Now things are just like kind of mellow and I’m just n- you know wrapping things up so it’s not that bad.,128,You know? Now things are just like kind of mellow and I’m just you know wrapping things up so it’s not that bad.,"[('AUTHOR', 'know', 'true'), ('AUTHOR', 'wrapping', 'true')]"
4245,Magda,A: Sure.,129,Sure.,"[('AUTHOR', 'sure', 'sure')]"
4245,Magda,A: mhm.,130,mhm.,"[('AUTHOR', 'mhm', 'true')]"
4245,Magda,B: But it was kind of hellish for a bit.,131,But it was kind of hellish for a bit.,"[('AUTHOR', 'was', 'true')]"
4245,Magda,A: yeah. oh I’m sure.,132,yeah. oh I’m sure.,"[('AUTHOR', 'sure', 'true')]"
4245,Magda,"B: I still, all I want to do is sleep now. I’ve been trying to nap for the longest time today.",133,"I still, all I want to do is sleep now. I’ve been trying to nap for the longest time today.","[('AUTHOR', 'want', 'true'), ('AUTHOR', 'sleep', 'unknown'), ('AUTHOR', 'trying', 'true'), ('AUTHOR', 'nap', 'unknown')]"
4245,Magda,A: {laugh},134,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,B: Every time I lay down a phone rings and like random people call me.,135,Every time I lay down a phone rings and like random people call me.,"[('AUTHOR', 'lay', 'true'), ('AUTHOR', 'rings', 'true'), ('AUTHOR', 'call', 'true')]"
4245,Magda,B: You’re not that random but it’s kind of random receiving a phone call from you. {laugh},136,You’re not that random but it’s kind of random receiving a phone call from you.,"[('AUTHOR', 'reaching', 'true'), ('AUTHOR', 'call', 'true')]"
4245,Magda,A: **Eee**. {laugh},137,**Eee**.,[]
4245,Magda,B: I mean you’re not a random person but,138,I mean you’re not a random person but,"[('AUTHOR', 'mean', 'true')]"
4245,Magda,"A: Well thank you.  I appreciate being considered non, %er non random.",139,"Well thank you. I appreciate being considered non, non random.","[('AUTHOR', 'appreciate', 'true')]"
4245,Magda,B: No. You’re pretty organized and orderly {laugh}.,140,No. You’re pretty organized and orderly,"[('AUTHOR', 'organized', 'unknown')]"
4245,Magda,A: Thank you. {laugh},141,Thank you.,"[('AUTHOR', 'thanks', 'true')]"
4245,Magda,B: ((you’re random)),142,you’re random,"[('AUTHOR', 'random', 'true')]"
4245,Magda,B: {breath} No problem. {inhale},143,No problem.,"[('AUTHOR', 'problem', 'true')]"
4245,Magda,B: &Jody’s going to be shocked that I heard from you.,144,Jody’s going to be shocked that I heard from you.,"[('AUTHOR', 'shocked', 'true'), ('AUTHOR', 'heard', 'true')]"
4245,Magda,A: She what?,145,She what?,"[('AUTHOR', 'what', 'true')]"
4245,Magda,B: She’s going to be happy [distortion] that I heard [/distortion],146,She’s going to be happy that I heard,"[('AUTHOR', 'happy', 'true'), ('AUTHOR', 'heard', 'true')]"
4245,Magda,A: oh yeah.,147,oh yeah.,"[('AUTHOR', 'oh', 'true')]"
4245,Magda,B: Did you get her postcard?,148,Did you get her postcard?,"[('AUTHOR', 'get', 'unknown')]"
4245,Magda,A: I haven’t heard,149,I haven’t heard,"[('AUTHOR', 'heard', 'false')]"
4245,Magda,A: %hm from her?,150,from her?,"[('AUTHOR', 'she', 'true')]"
4245,Magda,B: yeah.,151,yeah.,"[('AUTHOR', 'yeah', 'yeah')]"
4245,Magda,A: No %huh I haven’t heard from her at all.,152,No I haven’t heard from her at all.,"[('AUTHOR', 'heard', 'false')]"
4245,Magda,B: She sent you a postcard. In fact we both sent you postcards.,153,She sent you a postcard. In fact we both sent you postcards.,"[('AUTHOR', 'sent', 'true'), ('AUTHOR', 'sent', 'true')]"
4245,Magda,A: %ah.,154,ah.,"[('AUTHOR', 'ah', 'true')]"
4245,Magda,A: All right. [[drawn out]],155,All right.,"[('AUTHOR', 'all', 'true')]"
4245,Magda,B: yeah. {breath} You know what?,156,yeah. You know what?,"[('AUTHOR', 'know', 'true')]"
4245,Magda,A: What?,157,What?,[]
4245,Magda,B: I just came back from the &U &S and I have some letters for you including that little package. I don’t know what to do with that little package.,158,I just came back from the U S and I have some letters for you including that little package. I don’t know what to do with that little package.,"[('AUTHOR', 'came', 'true'), ('AUTHOR', 'have', 'true'), ('AUTHOR', 'know', 'false'), ('AUTHOR', 'do', 'unknown')]"
4245,Magda,A: {laugh},159,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,"B: I it, it is henna.",160,"I it, it is henna.","[('AUTHOR', 'it', 'true'), ('AUTHOR', 'henna', 'true')]"
4245,Magda,A: uh-huh.,161,uh-huh.,"[('AUTHOR', 'uh-huh', 'true')]"
4245,Magda,B: And %um I don’t know,162,And I don’t know,"[('AUTHOR', 'know', 'false')]"
4245,Magda,"A: Well I think, no you know what I think you should do.",163,"Well I think, no you know what I think you should do.","[('AUTHOR', 'think', 'true'), ('AUTHOR', 'know', 'false'), ('AUTHOR', 'think', 'unknown'), ('AUTHOR', 'do', 'unknown'), ('AUTHOR_I', 'do', 'unknown')]"
4245,Magda,B: (( )) [distortion],164,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,A: &Dorota please. Really.,165,Dorota please. Really.,"[('AUTHOR', 'please', 'true')]"
4245,Magda,B: %uh. [distorted],166,.,"[('AUTHOR', 'requires', 'true')]"
4245,Magda,"A: The package of henna, share it with &Magda.",167,"The package of henna, share it with Magda.","[('AUTHOR', 'share', 'true')]"
4245,Magda,B: {laugh} &Magda is gone so maybe I’ll do it in my hair.,168,Magda is gone so maybe I’ll do it in my hair.,"[('AUTHOR', 'gone', 'true'), ('AUTHOR', 'do', 'ptrue')]"
4245,Magda,A: okay. {laugh} It’s a nice brown.,169,okay. It’s a nice brown.,"[('AUTHOR', 'ok', 'true')]"
4245,Magda,"B: oh is it? Good, good.",170,"oh is it? Good, good.","[('AUTHOR', 'good', 'true')]"
4245,Magda,A: yeah. Well a friend of mine from &Florida sent that to me.,171,yeah. Well a friend of mine from Florida sent that to me.,"[('AUTHOR', 'sent', 'true')]"
4245,Magda,B: %eh yeah. She’s from &Gainesville (( )),172,yeah. She’s from Gainesville,"[('AUTHOR', 'Yeah', 'true')]"
4245,Magda,A: &Gainesville &Florida. mhm. [channel noise],173,Gainesville Florida. mhm.,"[('AUTHOR', 'Gainesville', 'true')]"
4245,Magda,B: <? (( ))> {laugh},174,<?,"[('AUTHOR', '', '')]"
4245,Magda,A: yeah <? (( ))>,175,yeah?,"[('AUTHOR', 'yeah', 'yeah')]"
4245,Magda,B: (( )),176,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,A: And,177,And,"[('AUTHOR', 'said', 'true')]"
4245,Magda,A: yeah so {breath} I I would like to think that it goes to a good because sending it back to me would probably just be ludicrous so {breath} you know why don’t you just,178,yeah so I I would like to think that it goes to a good because sending it back to me would probably just be ludicrous so you know why don’t you just,"[('AUTHOR', 'think', 'unknown'), ('AUTHOR', 'goes', 'unknown'), ('AUTHOR', 'sending', 'unknown'), ('AUTHOR', 'ludicrous', 'unknown'), ('AUTHOR', 'like', 'true'), ('AUTHOR', 'think', 'true')]"
4245,Magda,B: [distortion] So I can keep it. [/distortion],179,So I can keep it.,"[('AUTHOR', 'keep', 'unknown')]"
4245,Magda,B: I’m opening it up right now as you speak so I can put a ((world peace)) stamp on it.,180,I’m opening it up right now as you speak so I can put a world peace stamp on it.,"[('AUTHOR', 'opening', 'true'), ('AUTHOR', 'speak', 'true'), ('AUTHOR', 'put', 'unknown')]"
4245,Magda,A: uh-huh.,181,uh-huh.,"[('AUTHOR', 'uh-huh', 'true')]"
4245,Magda,A: All right.,182,All right.,"[('AUTHOR', 'all', 'true')]"
4245,Magda,B: All right. {laugh},183,All right.,"[('AUTHOR', 'all', 'true')]"
4245,Magda,A: {laugh},184,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,B: You know what? I’ve been saying all right all the time now.,185,You know what? I’ve been saying all right all the time now.,"[('AUTHOR', 'know', 'true'), ('AUTHOR', 'saying', 'true')]"
4245,Magda,B: I went to this conference in the &U &S and they’re like w- w- where did you get that I’m like,186,I went to this conference in the U S and they’re like where did you get that I’m like,"[('AUTHOR', 'went', 'true'), ('AUTHOR', 'get', 'true')]"
4245,Magda,A: Great.,187,Great.,[]
4245,Magda,A: (( )),188,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,B: I’m like %uh that’s a really long story. [[laughing during last word]],189,I’m like that’s a really long story.,"[('AUTHOR', 'like', 'true'), ('AUTHOR', 'story', 'true')]"
4245,Magda,A: {laugh},190,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,B: See there was this volunteer and she used to know this old man because she used to work (( )) [distortion] and this man would just sit there and say all right.  {laugh},191,See there was this volunteer and she used to know this old man because she used to work and this man would just sit there and say all right.,"[('AUTHOR', 'know', 'true'), ('AUTHOR', 'work', 'true'), ('AUTHOR', 'sit', 'unknown'), ('AUTHOR', 'say', 'true')]"
4245,Magda,A: {laugh},192,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,A: I have another one though too and &Tom was really getting sick of it. What was it?,193,I have another one though too and Tom was really getting sick of it. What was it?,"[('AUTHOR', 'have', 'true'), ('AUTHOR', 'getting', 'true')]"
4245,Magda,B: (( )).,194,.,"[('AUTHOR', 'requires', 'true')]"
4245,Magda,"A: I’ll have to think of it. It’s an-, it’s another one of those %uh all right",195,I’ll have to think of it. It’s it’s another one of those all right,"[('AUTHOR', 'think', 'true')]"
4245,Magda,B: **Yuh** [distorted and channel echo],196,**Yuh**,"[('AUTHOR', 'Yu', 'Yu')]"
4245,Magda,"A: because he g-, he says what does that mean when I say it now. It’s like",197,because he he says what does that mean when I say it now. It’s like,"[('AUTHOR', 'says', 'true'), ('AUTHOR', 'mean', 'unknown'), ('AUTHOR', 'say', 'true'), ('AUTHOR', 'it', 'true'), ('AUTHOR_he', 'mean', 'true'), ('AUTHOR_he', 'say', 'true')]"
